File;TP;FP;FN;Precision;Recall;F1
p172_c1;34;7;39;0.8292682926829268;0.4657534246575342;0.5964912280701754
p172_c2;19;3;10;0.8636363636363636;0.6551724137931034;0.7450980392156864
p173_c1;1;1;66;0.5;0.014925373134328358;0.02898550724637681
p173_c2;14;3;8;0.8235294117647058;0.6363636363636364;0.717948717948718
p174_c1;34;6;14;0.85;0.7083333333333334;0.7727272727272727
p174_c2;14;4;17;0.7777777777777778;0.45161290322580644;0.5714285714285714
p174_c3;15;1;10;0.9375;0.6;0.7317073170731707
p175_c1;39;2;14;0.9512195121951219;0.7358490566037735;0.8297872340425531
p175_c2;18;9;23;0.6666666666666666;0.43902439024390244;0.5294117647058824
p175_c3;9;2;11;0.8181818181818182;0.45;0.5806451612903226
p176_c1;4;0;40;1.0;0.09090909090909091;0.16666666666666669
p176_c2;19;0;2;1.0;0.9047619047619048;0.9500000000000001
p177_c1;20;4;11;0.8333333333333334;0.6451612903225806;0.7272727272727272
p177_c2;7;0;15;1.0;0.3181818181818182;0.4827586206896552
p178_c1;30;6;28;0.8333333333333334;0.5172413793103449;0.6382978723404256
p178_c2;11;1;9;0.9166666666666666;0.55;0.6874999999999999
p179_c1;6;0;36;1.0;0.14285714285714285;0.25
p179_c2;13;9;29;0.5909090909090909;0.30952380952380953;0.40625000000000006
p179_c3;2;1;23;0.6666666666666666;0.08;0.14285714285714285
p180_c1;46;2;49;0.9583333333333334;0.4842105263157895;0.6433566433566433
p180_c2;8;4;16;0.6666666666666666;0.3333333333333333;0.4444444444444444
p180_c3;30;4;19;0.8823529411764706;0.6122448979591837;0.7228915662650602
p181_c1;34;2;45;0.9444444444444444;0.43037974683544306;0.5913043478260869
p181_c2;1;1;39;0.5;0.025;0.047619047619047616
p181_c3;4;2;98;0.6666666666666666;0.0392156862745098;0.07407407407407407
p182_c1;13;0;14;1.0;0.48148148148148145;0.65
p182_c2;2;1;49;0.6666666666666666;0.0392156862745098;0.07407407407407407
p184_c1;39;3;37;0.9285714285714286;0.5131578947368421;0.6610169491525424
p184_c2;10;7;7;0.5882352941176471;0.5882352941176471;0.5882352941176471
p185_c1;26;6;20;0.8125;0.5652173913043478;0.6666666666666667
p185_c2;5;0;9;1.0;0.35714285714285715;0.5263157894736842
